ปี,เดือน,จังหวัด,อำเภอ,อปท.,ขยะมูลฝอยชุมชน(ตัน)
2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,1006.75
2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,915.3
2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,1217.48
2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,509.84
2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,780.35
2563,มิถุนายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,150.03
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,134.08
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,134.09
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,232.13
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,702.73
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,167.61
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,696.01
2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,315.0
2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1538.06
2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,461.7
2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1470.48
2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,576.78
2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขนุน,392.58
2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,1000.0
2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,254.35
2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,1380.1
2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,1895.28
2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1668.35
2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1632.06
