,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะอินทรีย์ลงถัง(ตัน)
186,2563,กรกฎาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.5
187,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,17.0
188,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,292.41
189,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,3.0
190,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
191,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,77.94
192,2563,กรกฎาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3766.0
193,2563,กรกฎาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,758.65
194,2563,สิงหาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,43.77
195,2563,สิงหาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,62.0
196,2563,สิงหาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,100.0
197,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,400.0
198,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,169.2
199,2563,สิงหาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,998.88
200,2563,สิงหาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,188.79
201,2563,สิงหาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,100.0
202,2563,สิงหาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,2.5
203,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,640.7
204,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,685.32
205,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,475.67
206,2563,สิงหาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,100.0
207,2563,สิงหาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,35.0
208,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.0
209,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.95
210,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,147.34
211,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,244.28
212,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,28.0
213,2563,สิงหาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,4.4
214,2563,สิงหาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.3
215,2563,สิงหาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.3
216,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,18.0
217,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,286.0
218,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,3.0
219,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
220,2563,สิงหาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,61.79
221,2563,สิงหาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3894.0
222,2563,สิงหาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,740.89
223,2563,กันยายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,40.6
224,2563,กันยายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,63.0
225,2563,กันยายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,100.0
226,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,400.0
227,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,244.48
228,2563,กันยายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1012.66
229,2563,กันยายน,นนทบุรี,บางกรวย,อบต.บางขนุน,197.99
230,2563,กันยายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,80.0
