,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
184,2563,มิถุนายน,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,379.75
185,2563,กรกฎาคม,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,6.22
186,2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.93
187,2563,กรกฎาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,15.0
188,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,415.0
189,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,1.2
190,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,580.69
191,2563,กรกฎาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,3.0
192,2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,120.82
193,2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,150.0
194,2563,กรกฎาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,7.51
195,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,327.77
196,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,259.07
197,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,493.25
198,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,60.0
199,2563,กรกฎาคม,นนทบุรี,บางบัวทอง,อบต.ละหาร,3.19
200,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.0
201,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2.95
202,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,367.54
203,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,129.1
204,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,54.21
205,2563,กรกฎาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1.29
206,2563,กรกฎาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,548.5
207,2563,กรกฎาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,2.0
208,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,950.0
209,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,137.07
210,2563,กรกฎาคม,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,5.0
