,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะติดเชื้อ (ตัน),ขยะกำจัดถูกต้อง(ตัน)
225,2563,มิถุนายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0.0,0.0
226,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0.0,0.0
227,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0
228,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.02,0.02
229,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0.0,0.0
230,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0.0,0.0
231,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0
232,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.06,0.06
233,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,0.0
234,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.03,0.03
235,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.162,0.162
236,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0.0,0.0
237,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0
238,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0
239,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,0.0
240,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,0.0
241,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,2.39,2.39
242,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,0.0
243,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0.0,0.0
244,2563,มิถุนายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0.25,0.25
245,2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0.0,0.0
246,2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.ละหาร,0.0,0.0
247,2563,มิถุนายน,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.0,0.0
248,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0.0,0.0
249,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.0,0.0
250,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,20.0,20.0
251,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,8.174,8.174
252,2563,มิถุนายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0.0,0.0
